	ResponseID	OrganismID	LogcVar	TObs	MatrixID	In_on	Temperature	PropertyID	ID	Time	Value_y
140	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3313	456.0	4.64
141	125	lm	0.7338	480.0	beef	ground beef	3.0	exp_inoculated	3314	480.0	4.81
142	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3315	0.0	3.94
143	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3316	48.0	4.57
144	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3317	96.0	4.57
145	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3318	144.0	4.65
146	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3319	168.0	4.72
147	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3320	216.0	4.7
148	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3321	240.0	4.77
149	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3322	264.0	4.73
150	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3323	288.0	4.73
151	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3324	312.0	4.83
152	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3325	336.0	4.61
153	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3326	408.0	4.79
154	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3327	432.0	4.76
155	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3328	456.0	4.72
156	126	lm	0.8816	480.0	beef	ground beef	3.0	exp_inoculated	3329	480.0	4.45
157	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3330	0.0	4.04
158	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3331	48.0	4.69
159	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3332	96.0	4.69
160	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3333	144.0	4.78
161	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3334	168.0	4.79
162	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3335	216.0	4.78
163	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3336	240.0	4.72
164	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3337	264.0	4.67
165	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3338	288.0	4.59
166	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3339	312.0	4.7
167	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3340	336.0	4.72
168	127	lm	0.7648	480.0	beef	ground beef	3.0	exp_inoculated	3341	408.0	4.76
